Account address,Show boosts,Notify on new posts,Languages
@nintendo@app.wafrn.net,true,false,
@dusepo@toot.dusepo.co.uk,true,false,
@loudfpv@mastodon.social,true,false,
@gauteweb@mikrobloggen.no,true,false,
@axwax@chaos.social,true,false,
@vampire_lord_red_fang@mastodon.social,true,false,
@Theramansi@social.tulsa.ok.us,true,false,
@oigreslima@fed.sfl.pro.br,true,false,
@Courtneygoodman@zirk.us,true,false,
@admin@beamship.mpaq.org,true,false,
@gamesformusic@tabletop.vip,true,false,
@tieflingdiotima@mastodon.social,true,false,
@cpacaud@mastodon.art,true,false,
@ttntm@fosstodon.org,true,false,
@revivalrecords@mastodon.social,true,false,
@jonnypencils@mastodon.social,true,false,
@ovan@social.lol,true,false,
@AngharadHafod@toot.wales,true,false,
@0mega@sk.zehnvorne.social,true,false,
@zicklepop@nyan.lol,true,false,
@holly@loyal.sh,true,false,
@austin@mstdn.party,true,false,
@randulo@akkomane.social,true,false,
@listenfaster@social.toplap.org,true,false,
@djomnimaga@mastodonmusic.social,true,false,
@mapache@hachyderm.io,true,false,
@rich@m.reneo.io,true,false,
@lupomancer@furries.club,true,false,
@maspiers@mastodonapp.uk,true,false,
@SirTapTap@mastodon.social,true,false,
@jupiter_rowland@hub.netzgemeinde.eu,true,false,
@cmdr_nova@mkultra.monster,true,false,
@bloodywing@mastodon.art,true,false,
@liaizon@social.wake.st,true,false,
@OscarBalam@fedi.lat,true,false,
@petri@owo.is,true,false,
@gytisrepecka@social.gyt.is,true,false,
@pch@s3th.me,true,false,
@arnelson@fosstodon.org,true,false,
@matt@oslo.town,true,false,
@ghalfacree@mastodon.social,true,false,
@amoroso@fosstodon.org,true,false,
@sarahdalgulls@ecoevo.social,true,false,
@markus@skvip.lol,true,false,
@matt@writing.exchange,true,false,
@ArtBear@catodon.social,true,false,
@marcel@waldvogel.family,true,false,
@artem@social.anufrij.de,true,false,
@smirklord@mstdn.social,true,false,
@stevenray@sfba.social,true,false,
@darylsun@social.lol,true,false,
@beardedtechguy@allthingstech.social,true,false,
@NaClKnight@mstdn.games,true,false,
@trecccst@mstdn.social,true,false,
@Exilian@indiepocalypse.social,true,false,
@JubalBarca@scholar.social,true,false,
@niboe@red.niboe.info,true,false,
@unmes@mstdn.social,true,false,
@feinstruktur@mastodon.social,true,false,
@fediverso@red.niboe.info,true,false,
@gepasi@fediscience.org,true,false,
@hq@s.basspistol.org,true,false,
@Coop_internazionale_di_Polizia@poliversity.it,true,false,
@accordionpolar@indieweb.social,true,false,
@jake4480@c.im,true,false,
@PlugersHelmond@mastodon.social,true,false,
@pa79@social.egalwaat.lu,true,false,
@twpol@tech.lgbt,true,false,
